국가별,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
수단,2%,3%,3%,3%,5%,3%,2%,4%,3%,3%,6%,7%,7%,8%,6%,9%,12%,7%,4%,5%,3%,5%,3%,4%,3%,4%,3%,5%,3%,4%,6%,5%
리비아,35%,37%,31%,30%,23%,24%,38%,19%,15%,20%,14%,19%,31%,13%,27%,19%,19%,13%,21%,27%,23%,5%,21%,25%,17%,13%,16%,8%,11%,17%,14%,14%
모로코,7%,8%,11%,6%,6%,6%,5%,8%,8%,6%,8%,10%,9%,12%,10%,11%,10%,13%,10%,7%,5%,9%,10%,7%,6%,8%,12%,8%,8%,9%,11%,10%
모리타니,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
소말리아,0%,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,1%,0%
알제리,6%,9%,11%,8%,7%,6%,6%,9%,15%,19%,16%,15%,18%,21%,21%,18%,17%,25%,22%,24%,25%,29%,22%,24%,26%,20%,24%,35%,24%,19%,10%,6%
이집트,43%,33%,35%,43%,53%,55%,41%,52%,51%,43%,47%,41%,30%,40%,32%,37%,38%,38%,39%,33%,37%,45%,35%,35%,44%,50%,39%,38%,47%,43%,49%,55%
지부티,4%,5%,5%,4%,3%,3%,2%,2%,2%,2%,2%,1%,1%,1%,0%,1%,1%,1%,1%,1%,0%,1%,2%,1%,1%,1%,2%,2%,1%,1%,3%,1%
코모로,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
튀니지,3%,4%,3%,3%,3%,3%,4%,6%,6%,6%,7%,6%,5%,4%,4%,4%,4%,3%,3%,3%,6%,5%,8%,4%,4%,4%,3%,4%,4%,5%,6%,7%